faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'The key point is that data retention is linked to procedure number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.4709606468677521, 'contradiction': 0.26554208993911743, 'entailment': 0.2634972929954529}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that civil rights guidance is linked to recommended action number 1, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.5901985168457031, 'neutral': 0.40694183111190796, 'entailment': 0.002859664149582386}}]"
"[{'claim': 'The key point is that termination overview is linked to causal factor number 6, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8647469282150269, 'entailment': 0.09702733159065247, 'contradiction': 0.03822574019432068}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that credit score is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993942975997925, 'neutral': 0.0004793081316165626, 'entailment': 0.00012635091843549162}}]"
"[{'claim': 'The key point is that itinerary overview is linked to decrease number 9, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5525194406509399, 'neutral': 0.44174978137016296, 'contradiction': 0.005730780307203531}}]"
"[{'claim': 'The key point is that machine learning policy is not linked to causal factor number 5; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994121789932251, 'neutral': 0.0003296291106380522, 'entailment': 0.0002582336310297251}}]"
"[{'claim': 'The key point is that customer retention is not linked to comparison number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9955458641052246, 'neutral': 0.0036155949346721172, 'entailment': 0.0008384307147935033}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that hypertension is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9978664517402649, 'neutral': 0.0018306267447769642, 'entailment': 0.0003029916260857135}}]"
"[{'claim': 'The key point is that baking is linked to recommended action number 2, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8881024122238159, 'neutral': 0.10912619531154633, 'contradiction': 0.002771328901872039}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that visa requirements is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9982919096946716, 'neutral': 0.0011264750501140952, 'entailment': 0.0005815839394927025}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that inventory turnover is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994858503341675, 'neutral': 0.0004285006725694984, 'entailment': 8.570990030420944e-05}}]"
"[{'claim': 'The key point is that linear algebra policy is linked to deadline number 1, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8443587422370911, 'neutral': 0.15434691309928894, 'contradiction': 0.0012942919274792075}}]"
"[{'claim': 'The key point is that market positioning is linked to increase number 16, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.631779134273529, 'neutral': 0.34463194012641907, 'contradiction': 0.02358897402882576}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that mauryan empire guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9904232025146484, 'neutral': 0.008184635080397129, 'entailment': 0.001392078003846109}}]"
"[{'claim': 'The key point is that contamination is linked to deadline number 5.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8124808669090271, 'contradiction': 0.09497441351413727, 'entailment': 0.09254470467567444}}]"
"[{'claim': 'The key point is that refund policy overview is linked to guideline number 8, and the passage also mentions a priority order.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8617912530899048, 'neutral': 0.13546353578567505, 'contradiction': 0.0027452295180410147}}]"
"[{'claim': 'The key point is that notice period benchmark is not linked to procedure number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992865920066833, 'neutral': 0.0004279038112144917, 'entailment': 0.00028549862327054143}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that mauryan empire guidance is linked to comparison number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5904821753501892, 'entailment': 0.2808701694011688, 'contradiction': 0.12864762544631958}}]"
"[{'claim': 'The key point is that type 2 diabetes guidance is not linked to deadline number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996188879013062, 'entailment': 0.00020245883206371218, 'neutral': 0.00017861372907646}}]"
"[{'claim': 'The key point is that migraine is linked to threshold number 15, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.4724997878074646, 'entailment': 0.42458802461624146, 'contradiction': 0.10291219502687454}}]"
"[{'claim': 'The key point is that baking policy is linked to threshold number 16, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.5028336644172668, 'neutral': 0.4954931437969208, 'entailment': 0.0016731792129576206}}]"
"[{'claim': 'The key point is that inventory turnover is linked to decrease number 8, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6820334792137146, 'neutral': 0.2860131859779358, 'contradiction': 0.031953372061252594}}]"
"[{'claim': 'The key point is that win rate is linked to deadline number 3, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8589027523994446, 'contradiction': 0.1395980715751648, 'entailment': 0.0014992262003943324}}]"
"[{'claim': 'The key point is that photosynthesis is linked to procedure number 15.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8845807909965515, 'entailment': 0.09155109524726868, 'contradiction': 0.023868175223469734}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that hypertension is linked to deadline number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8939456343650818, 'contradiction': 0.10550607740879059, 'entailment': 0.0005482996930368245}}]"
"[{'claim': 'The key point is that world war II workflow is linked to warning sign number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8027852177619934, 'entailment': 0.10157093405723572, 'contradiction': 0.09564381092786789}}]"
"[{'claim': 'The key point is that copyright is linked to decrease number 10, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9338627457618713, 'contradiction': 0.06531864404678345, 'entailment': 0.0008185628685168922}}]"
"[{'claim': 'The key point is that visa requirements guidance is linked to recommended action number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.4809292256832123, 'entailment': 0.4414792060852051, 'contradiction': 0.07759150117635727}}]"
"[{'claim': 'The key point is that baking is linked to procedure number 15, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.39589765667915344, 'entailment': 0.3861146867275238, 'contradiction': 0.21798768639564514}}]"
"[{'claim': 'The key point is that protein intake is linked to warning sign number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5510006546974182, 'entailment': 0.4274824857711792, 'contradiction': 0.021516844630241394}}]"
"[{'claim': 'Since credit score workflow mentions a time window, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8774895668029785, 'contradiction': 0.09480488300323486, 'entailment': 0.027705561369657516}}]"
"[{'claim': 'The key point is that habitat loss is linked to threshold number 1.', 'label': 'UNSUPPORTED', 'scores': {'entailment': 0.4993228614330292, 'neutral': 0.48773089051246643, 'contradiction': 0.012946221977472305}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that emergency fund workflow is linked to increase number 9, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9866923689842224, 'contradiction': 0.012914234772324562, 'entailment': 0.00039338687201961875}}]"
"[{'claim': 'The key point is that migraine guidance is linked to increase number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.633544385433197, 'entailment': 0.3391975462436676, 'contradiction': 0.027258072048425674}}]"
"[{'claim': 'The key point is that contamination is linked to warning sign number 4, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5798771381378174, 'entailment': 0.3607543706893921, 'contradiction': 0.0593685545027256}}]"
"[{'claim': 'The key point is that overfitting workflow is linked to threshold number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8333668112754822, 'entailment': 0.11935427039861679, 'contradiction': 0.047278936952352524}}]"
"[{'claim': 'The key point is that itinerary guidance is linked to causal factor number 13, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9538144469261169, 'contradiction': 0.04538737237453461, 'entailment': 0.0007982449606060982}}]"
"[{'claim': 'The key point is that data retention policy is linked to comparison number 15, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5843983888626099, 'entailment': 0.33770036697387695, 'contradiction': 0.07790117710828781}}]"
"[{'claim': 'The key point is that visa requirements is linked to procedure number 13, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.839306652545929, 'neutral': 0.15908794105052948, 'entailment': 0.0016054324805736542}}]"
"[{'claim': 'The key point is that mauryan empire is linked to threshold number 12, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6521382331848145, 'neutral': 0.2698924243450165, 'contradiction': 0.07796936482191086}}]"
"[{'claim': 'Since termination overview mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'contradiction': 0.4709824323654175, 'neutral': 0.4689038097858429, 'entailment': 0.060113683342933655}}]"
"[{'claim': 'The key point is that record keeping workflow is not linked to warning sign number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996428489685059, 'neutral': 0.00020660070003941655, 'entailment': 0.00015045907639432698}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that inventory turnover benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9985400438308716, 'neutral': 0.0012599366018548608, 'entailment': 0.00019994705507997423}}]"
"[{'claim': 'The key point is that pressing is linked to causal factor number 11.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5782159566879272, 'entailment': 0.264473021030426, 'contradiction': 0.15731105208396912}}]"
"[{'claim': 'The key point is that portion control is linked to procedure number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8101074695587158, 'entailment': 0.1124923974275589, 'contradiction': 0.0774000957608223}}]"
"[{'claim': 'The key point is that record keeping overview is linked to guideline number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9469489455223083, 'contradiction': 0.05263923853635788, 'entailment': 0.0004118270881008357}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that cancellation policy workflow is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9990803003311157, 'neutral': 0.0007459644111804664, 'entailment': 0.00017371305148117244}}]"
"[{'claim': 'The key point is that anemia is not linked to decrease number 16; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9977700710296631, 'neutral': 0.0013105823891237378, 'entailment': 0.0009193241712637246}}]"
"[{'claim': 'The key point is that capital gains is linked to recommended action number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.832066535949707, 'contradiction': 0.16702117025852203, 'entailment': 0.0009122127667069435}}]"
